Fecha|NúmeroTicket|Codigo|Cantidad|Precio
2/6/2023|58008|302|3|77.4700012207031
2/6/2023|58008|761|1|81.4499969482422
2/6/2023|58008|46|8|41.4000015258789
2/6/2023|58008|791|9|37.3499984741211
2/6/2023|58008|872|10|5.61999988555908
2/6/2023|58008|365|10|52.4900016784668
16/7/2023|14815|299|5|62.2700004577637
16/7/2023|14815|264|7|27.9300003051758
16/7/2023|14815|825|9|58.9199981689453
16/7/2023|14815|911|10|22.6900005340576
16/7/2023|14815|981|7|24.3899993896484
16/7/2023|14815|107|6|99.9400024414063
11/5/2023|11413|104|2|79.8899993896484
11/5/2023|11413|46|3|29.5799999237061
11/5/2023|11413|301|4|94.8600006103516
11/5/2023|11413|402|10|27.8299999237061
11/5/2023|11413|163|2|64.6600036621094
11/5/2023|11413|413|5|71.2699966430664
29/8/2022|66986|584|2|8.06999969482422
29/8/2022|66986|906|5|26.1399993896484
29/8/2022|66986|379|8|28.9699993133545
5/11/2023|66856|98|5|56.0999984741211
5/11/2023|66856|914|7|83.4800033569336
5/11/2023|66856|544|1|91.620002746582
5/11/2023|66856|678|5|50.25
5/11/2023|66856|463|6|35.3499984741211
5/11/2023|66856|270|5|5.55999994277954
5/11/2023|66856|980|3|6.09000015258789
14/10/2022|42849|475|2|25.7299995422363
14/10/2022|42849|543|7|15.6300001144409
14/10/2022|42849|655|10|50.6100006103516
14/10/2022|42849|108|4|78.4000015258789
14/10/2022|42849|754|5|59.6100006103516
2/9/2023|11688|106|1|33.1699981689453
2/9/2023|11688|1|2|53.6800003051758
2/9/2023|11688|545|7|82.7399978637695
3/3/2022|27273|358|5|15
3/3/2022|27273|929|8|53.0200004577637
3/3/2022|27273|758|1|40.1800003051758
3/3/2022|27273|493|5|20.7600002288818
3/3/2022|27273|96|4|58.9799995422363
3/3/2022|27273|928|2|9.78999996185303
3/3/2022|27273|273|5|87.25
5/7/2023|34564|90|3|3.09999990463257
5/7/2023|34564|791|4|29.7299995422363
5/7/2023|34564|481|3|25.4599990844727
5/7/2023|34564|45|4|48.2400016784668
5/7/2023|34564|865|3|58.8600006103516
5/7/2023|34564|928|8|33.0999984741211
5/7/2023|34564|81|6|63.439998626709
29/10/2022|96438|621|10|34.7700004577637
29/10/2022|96438|480|2|21.9400005340576
29/12/2023|21737|548|4|92.3000030517578
30/1/2023|46577|673|9|72.1900024414063
30/1/2023|46577|340|10|49.5200004577637
30/1/2023|46577|696|5|17.9099998474121
30/1/2023|46577|544|5|81.4700012207031
30/1/2023|46577|428|6|50.9099998474121
30/1/2023|46577|620|3|48.9799995422363
30/1/2023|46577|887|7|37.0499992370605
30/1/2023|46577|293|4|15.0299997329712
30/1/2023|46577|224|6|58.4500007629395
25/9/2022|88837|685|2|74.7399978637695
25/9/2022|88837|783|7|16.1700000762939
25/9/2022|88837|203|9|95.6800003051758
25/9/2022|88837|62|1|79.3199996948242
25/9/2022|88837|464|4|11.9499998092651
28/3/2022|25639|534|8|56.0999984741211
10/6/2022|52120|399|8|90.3099975585938
10/6/2022|52120|89|8|63.4599990844727
10/6/2022|52120|16|8|43.1100006103516
10/6/2022|52120|276|5|98.5400009155273
10/6/2022|52120|697|9|41.7599983215332
10/6/2022|52120|278|8|35.6599998474121
10/6/2022|52120|945|5|12.1499996185303
10/6/2022|52120|348|7|10.4399995803833
18/5/2022|16991|543|10|49.439998626709
18/5/2022|16991|218|10|37.9000015258789
18/5/2022|16991|282|4|50.3400001525879
18/5/2022|16991|518|2|96.5400009155273
18/5/2022|16991|910|6|65.7300033569336
21/11/2022|72369|701|8|49.7099990844727
26/4/2022|30136|51|8|51.7999992370605
26/4/2022|30136|801|8|32.5200004577637
26/4/2022|30136|805|10|67.4800033569336
26/4/2022|30136|876|10|41.6599998474121
2/4/2022|95874|402|7|1.62999999523163
2/4/2022|95874|165|2|50.9700012207031
2/4/2022|95874|107|5|27.6100006103516
2/4/2022|95874|850|7|49.7999992370605
2/4/2022|95874|897|2|37.2799987792969
2/4/2022|95874|771|4|21.7999992370605
2/4/2022|95874|237|5|87.8399963378906
2/4/2022|95874|375|7|38.9500007629395
23/9/2023|62734|331|6|86.8499984741211
23/9/2023|62734|260|3|17.8700008392334
23/9/2023|62734|3|4|74.2300033569336
23/9/2023|62734|279|9|70.3000030517578
23/9/2023|62734|812|5|74.1800003051758
23/9/2023|62734|78|5|41.060001373291
23/9/2023|62734|711|4|31.2299995422363
23/9/2023|62734|152|8|59.2999992370605
23/9/2023|62734|244|10|94
23/9/2023|62734|985|2|63.2999992370605
16/3/2023|91231|861|3|7.5
16/3/2023|91231|760|5|24.5699996948242
16/3/2023|91231|398|4|52.6599998474121
16/3/2023|91231|582|3|20.9699993133545
16/3/2023|91231|896|1|11.1400003433228
